554,,,,,,,,,
643,,-0.1|0.7|0.4,3.32|3.40|3.71,19.0|217.0|17.0,3|24|2,4.46|3.42|2.80,-1.14|-0.02|0.91,0.053|0.083|0.139,0.117|0.072|0.083
644,,,,,,,,,
645,,-0.1,9.82,3.2,0,6.38,3.44,0.136,0.227
646,,1.2|-0.7|1.8|4.4|3.3|1.7|4.3|0.2|-0.3|-0.1,3.35|6.37|4.26|3.45|4.37|4.49|3.14|3.60|5.47|5.73,53.2|83.1|143.2|172.1|200.0|170.1|134.2|15.0|80.2|11.0,9|16|23|28|33|29|21|3|8|2,3.82|5.00|3.89|3.79|4.08|3.96|3.45|5.65|4.78|7.22,-0.47|1.37|0.37|-0.34|0.29|0.53|-0.31|-2.05|0.69|-1.49,0.147|0.164|0.168|0.201|0.196|0.204|0.224|0.105|0.166|0.178,0.065|0.042|0.048|0.06|0.058|0.059|0.058|0.07|0.042|0.067
647,,-0.1|-0.9|-0.1|-0.6|0.1,4.55|6.64|4.56|4.33|1.80,63.1|84.0|25.2|54.0|10.0,10|12|3|1|0,4.57|5.49|3.61|4.42|4.06,-0.02|1.15|0.95|-0.09|-2.26,0.135|0.138|0.127|0.094|0.023,0.145|0.13|0.036|0.107|0.093
648,,-0.0|0.2|-0.4|0.3|-0.1,4.29|4.72|8.64|4.06|6.75,42.0|87.2|8.1|31.0|4.0,1|8|0|0|0,4.63|4.62|6.28|3.88|5.17,-0.34|0.1|2.36|0.18|1.58,0.052|0.087|0.047|0.083|0.0,0.103|0.12|0.116|0.12|0.15
649,,-0.2,3.00,18.0,1,3.70,-0.7,0.173,0.086
650,,,,,,,,,
651,,-0.1|-5.3|-0.3|0.5|3.9|5.7|-2.0|-1.4|0.9,3.23|4.47|4.24|2.45|2.97|2.96|4.47|5.35|2.29,61.1|344.2|17.0|33.0|532.2|304.1|326.1|104.1|59.0,8|38|2|5|61|34|38|12|6,3.38|2.75|2.39|2.85|2.93|3.82|4.44|4.56|3.89,-0.15|1.72|1.85|-0.4|0.04|-0.86|0.03|0.79|-1.6,0.052|0.133|0.115|0.096|0.094|0.08|0.043|0.064|0.051,0.045|0.049|0.013|0.029|0.057|0.081|0.095|0.119|0.118
652,,,,,,,,,
653,,-0.2,6.75,1.1,0,2.92,3.83,0.0,0.0
654,,,,,,,,,
655,,,,,,,,,
656,,,,,,,,,
657,,,,,,,,,
658,,0.7|2.5|2.0|1.0|-0.1|-0.0|0.1|-0.6|-0.8,3.88|2.96|2.30|3.12|3.82|5.49|4.15|4.79|10.13,99.2|112.2|113.2|118.1|99.0|57.1|13.0|77.0|13.1,0|0|0|0|0|0|0|0|0,3.93|3.22|2.90|2.95|2.80|3.44|2.77|3.16|3.69,-0.05|-0.26|-0.6|0.17|1.02|2.05|1.38|1.63|6.44,0.136|0.198|0.187|0.189|0.186|0.169|0.194|0.197|0.171,0.113|0.121|0.088|0.079|0.096|0.096|0.145|0.085|0.057
659,,,,,,,,,
660,,0.0|2.4|0.1|0.0|1.0|0.1,3.86|1.70|4.07|4.05|2.55|3.60,7.0|68.2|42.0|66.2|35.1|5.0,0|0|0|0|0|0,1.84|2.45|3.98|3.51|4.17|4.57,2.02|-0.75|0.09|0.54|-1.62|-0.97,0.129|0.186|0.173|0.178|0.181|0.043,0.032|0.072|0.069|0.118|0.125|0.174
661,,,,,,,,,
662,,0.0|-0.1,4.28|9.00,33.2|1.0,2|0,5.65|6.11,-1.37|2.89,0.033|0.0,0.073|0.143
663,,,,,,,,,
664,,-0.8|2.5|0.5|0.1|2.4|2.8|0.6|1.1|0.1|-0.1|-0.4|0.4|0.1,12.89|4.42|5.27|5.32|5.10|4.65|4.61|4.20|5.28|5.40|15.00|1.61|5.19|5.29,14.2|169.0|200.0|159.0|199.1|178.0|95.2|79.1|150.0|15.0|6.0|22.1|17.1|17.0,4|28|32|24|33|28|16|12|23|0|2|0|0|0,8.90|4.60|4.26|4.57|5.44|5.44|5.53|4.41|5.16|8.10|12.22|3.65|5.62|5.61,3.99|-0.18|1.01|0.75|-0.34|-0.79|-0.92|-0.21|0.12|-2.7|2.78|-2.04|-0.43|-0.32,0.123|0.177|0.159|0.152|0.139|0.153|0.097|0.159|0.133|0.101|0.028|0.143|0.118|0.103,0.111|0.079|0.094|0.084|0.091|0.078|0.088|0.075|0.074|0.058|0.139|0.036|0.092|0.077
665,,,,,,,,,
666,,,,,,,,,
667,,0.0|3.9|10.8|1.8|-1.3|-0.1|-1.0,2.65|1.86|2.24|3.84|5.43|7.04|4.50,17.0|179.1|487.0|211.0|53.0|7.2|62.0,2|20|56|24|6|1|7,0.98|1.99|2.69|4.08|3.73|3.44|4.85,1.67|-0.13|-0.45|-0.24|1.7|3.6|-0.35,0.344|0.186|0.167|0.067|0.103|0.095|0.043,0.016|0.039|0.052|0.068|0.06|0.095|0.079
668,,6.0|1.6|1.7|8.5|3.4|1.7|-0.1|3.8,3.40|2.76|3.61|3.35|2.76|3.47|11.57|4.10,334.0|251.0|513.2|492.0|437.2|440.1|2.1|331.1,39|30|59|56|51|53|1|39,4.40|3.34|3.52|3.96|3.64|3.52|4.53|4.26,-1.0|-0.58|0.09|-0.61|-0.88|-0.05|7.04|-0.16,0.112|0.146|0.162|0.092|0.101|0.079|0.0|0.068,0.083|0.092|0.12|0.111|0.117|0.098|0.071|0.096
669,,-0.3,6.14,14.2,4,4.28,1.86,0.075,0.164
670,,,,,,,,,
671,,0.6|0.3|0.0,3.33|2.38|4.45,97.1|22.2|62.2,0|0|0,3.18|3.43|4.97,0.15|-1.05|-0.52,0.129|0.101|0.084,0.081|0.112|0.113
672,,-0.1|-0.2|0.1|0.3|0.5|0.4|-0.0,13.50|14.73|3.04|4.47|4.05|4.39|5.72,2.0|3.2|26.2|46.1|40.0|26.2|28.1,0|0|0|9|0|3|0,8.63|7.50|4.47|4.30|2.82|3.24|4.79,4.87|7.23|-1.43|0.17|1.23|1.15|0.93,0.4|0.273|0.186|0.19|0.235|0.127|0.176,0.2|0.136|0.15|0.062|0.095|0.055|0.132
673,,,,,,,,,
674,,,,,,,,,
675,,,,,,,,,
676,,-0.2|-0.4|0.4|-0.3|-0.3|-0.3,5.51|6.82|2.57|4.54|6.50|7.47,80.0|30.1|21.0|35.2|18.0|15.2,15|7|0|0|0|0,5.11|7.45|3.51|4.93|7.71|6.64,0.4|-0.63|-0.94|-0.39|-1.21|0.83,0.14|0.148|0.315|0.214|0.145|0.169,0.078|0.104|0.124|0.088|0.133|0.169
677,,-0.1|0.3|0.5|-0.5|-0.0|2.9|-0.2|1.2|2.0|2.3|1.4|-0.6|-0.1,13.50|4.15|4.35|20.25|6.14|1.54|4.81|2.28|2.47|2.53|2.59|4.91|6.23,2.2|26.0|39.1|2.2|22.0|58.1|67.1|55.1|62.0|74.2|62.2|62.1|4.1,0|1|0|0|0|0|0|0|0|0|0|0|0,14.67|4.34|3.99|11.49|3.56|2.22|3.77|2.68|3.77|3.03|3.49|3.95|9.60,-1.17|-0.19|0.36|8.76|2.58|-0.68|1.04|-0.4|-1.3|-0.5|-0.9|0.96|-3.37,0.143|0.261|0.244|0.167|0.262|0.366|0.239|0.252|0.244|0.249|0.275|0.211|0.0,0.214|0.122|0.122|0.222|0.155|0.107|0.114|0.077|0.083|0.097|0.103|0.152|0.19
678,,,,,,,,,
679,,,,,,,,,
680,,,,,,,,,
